Country.x,Year,key,Government Education Expenditure,AMA.exchange.rate,IMF.based.exchange.rate,Population,Currency,Per.capita.GNI,X.Agriculture..hunting..forestry..fishing..ISIC.A.B..,Changes.in.inventories,Construction..ISIC.F.,Exports.of.goods.and.services,Final.consumption.expenditure,General.government.final.consumption.expenditure,Gross.capital.formation,Gross.fixed.capital.formation..including.Acquisitions.less.disposals.of.valuables.,Household.consumption.expenditure..including.Non.profit.institutions.serving.households.,Imports.of.goods.and.services,Manufacturing..ISIC.D.,X.Mining..Manufacturing..Utilities..ISIC.C.E..,Other.Activities..ISIC.J.P.,Total.Value.Added,X.Transport..storage.and.communication..ISIC.I..,X.Wholesale..retail.trade..restaurants.and.hotels..ISIC.G.H..,Gross.National.Income.GNI..in.USD,Gross.Domestic.Product..GDP.,Learning.Adjusted.Years.of.School
Finland,2018,Finland 2018,6.27557992935181,0.613439611346241,0.613439611346241,15.5230659786933, Euro ,10.823571082649,22.607342911175,21.8876438890072,23.5959709990892,25.3867049310679,26.0703733676686,24.8686347929205,24.9669737449625,24.9198925500798,25.7068724586616,25.4237462027479,24.4180647876936,24.6043066066911,25.4594642853497,26.1955365106221,23.9438258579997,23.9668089454988,26.3472833431374,26.3436667026672,12.047586
Finland,2020,Finland 2020,6.6349401473999,0.628878701357768,0.628878701357768,15.5256023471883, Euro ,10.8196182716089,22.6218052526635,20.8661689892474,23.6213420837324,25.3048987628029,26.0462758160897,24.9115278228108,24.9223694854239,24.90490315176,25.6577397700843,25.2989404998022,24.3803119079988,24.5772264254422,25.4681979653184,26.1828513510948,23.8866904649607,23.9274293923389,26.3436667026672,26.3290679032461,11.738752
France,2010,France 2010,5.64279174804688,0.562494470265018,0.562494470265018,17.9832634071413, Euro ,10.6424442691274,24.4701359700105,NA,25.6861104672133,27.2857099306415,28.3729584606584,27.1753147913852,27.0862939404886,27.0931668197763,28.0094575516495,27.3326150801151,26.332737632135,26.5162794453336,27.9086528525276,28.4981216036124,26.170003208617,26.4726588228578,28.6242728889392,28.6018000330872,11.24583
France,2017,France 2017,5.45160007476807,0.63403683776909,0.63403683776909,18.0110904087832, Euro ,10.595959505181,24.4128448744698,23.9179871881765,25.5752961008738,27.4116205508944,28.329155838,27.1432607650952,27.1334407189142,27.0931668197763,27.9674933525505,27.4458956318031,26.295419869128,26.4915868327433,27.8856633343029,28.4682686404627,26.1526114659052,26.4369986424591,28.6055807559271,28.5865325609564,11.3
France,2018,France 2018,5.40716981887817,0.613439611346241,0.613439611346241,18.0134595949064, Euro ,10.666883482305,24.552329651574,24.0162178034417,25.6577397700843,27.5088534819555,28.3964889580686,27.2002381998376,27.2245555074883,27.1831702913255,28.0364862240374,27.5400017175425,26.3508869506406,26.5551483142329,27.9603248630719,28.5392796761058,26.2163272802911,26.5070910192792,28.6818427407607,28.6570627117622,11.17285
France,2020,France 2020,5.65981006622314,0.628878701357768,0.628878701357768,18.0172205995605, Euro ,10.5996302420759,24.4471268944668,23.7579698677148,25.5435474025595,27.3080572293335,28.3537270987305,27.2124707682732,27.1626162080481,27.1284942949789,27.9746108203193,27.3774183571309,26.2245240474952,26.4630587491289,27.9311257083796,28.485436444085,26.1870976419763,26.3931467599304,28.6168379104517,28.6018000330872,11.2687235
Gabon,2017,Gabon 2017,3.55570793151855,6.36588049642479,6.36588049642479,14.5764173164839, CFA Franc BEAC ,8.78508063653984,20.4824756658805,NA,20.3334244366005,22.7370371713734,22.7955012458312,21.404011164963,21.8877603426508,21.8877603426508,22.5095450983958,22.033955751869,20.7573681484018,22.5332453907337,22.2252148826117,23.3713125033468,20.9837023429425,20.4553809604035,23.361313906859,23.4266147700524,6.03
Gabon,2018,Gabon 2018,3.07154297828674,6.32157095476624,6.32157095476624,14.6003308576894, CFA Franc BEAC ,8.8805855231025,20.6365308519388,NA,20.1345669543002,22.8770692434394,22.8389560101663,21.3010975452847,22.034876784147,22.034876784147,22.5970873609781,22.0471202610931,20.9735358903911,22.7239417311121,22.2705991174768,23.4985914735419,21.1709518109379,20.6335812876678,23.4807212919322,23.5486445894649,6.024927
Gabon,2020,Gabon 2020,3.39874076843262,6.35712451245048,6.35712451245048,14.645185761763, CFA Franc BEAC ,8.73472100394481,20.7430723407057,NA,20.0656415815255,22.7117164816128,22.8573702376928,21.424914159188,21.8375883610748,21.8375883610748,22.58461371405,21.9715757240329,20.959962347393,22.4673099821573,22.1956761368958,23.3942947107228,21.4015600127336,20.5794807677383,23.3797695341326,23.4522233940576,6.024927
Georgia,2010,Georgia 2010,2.80364799499512,1.02329289940386,1.02329289940386,15.1601575840641, Lari ,8.05038445306702,20.7573417971787,19.0958168240731,19.9340176785838,22.1181985168753,23.192252394555,21.3490253913877,21.644664776882,21.5632685101889,23.0199139430598,22.5339739087646,20.8355799729508,21.1989358897728,22.1945023912501,23.1047356184763,20.9498894107521,21.4717909105762,23.2103078013267,23.2282366887222,7.8855686
