Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2017 [YR2017],2018 [YR2018],2020 [YR2020]
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Portugal,PRT,5.41248989105225,5.0156102180481,4.67515993118286,4.87656021118164
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Puerto Rico,PRI,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Qatar,QAT,4.53965997695923,2.96745991706848,..,3.2336699962616
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Romania,ROU,3.41717004776001,3.11820006370544,3.31918001174927,3.58926010131836
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Russian Federation,RUS,3.8476243019104,4.68990993499756,4.67819976806641,4.01641845703125
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Rwanda,RWA,4.63126993179321,3.1247398853302,3.07375001907349,3.33394289016724
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Samoa,WSM,..,3.96231913566589,4.26097393035889,4.48100519180298
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,San Marino,SMR,2.62883996963501,3.36997008323669,3.55516004562378,3.4246199131012
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sao Tome and Principe,STP,9.9882698059082,5.87489986419678,5.62454986572266,5.0152382850647
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Saudi Arabia,SAU,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Senegal,SEN,0.544770002365112,4.74007987976074,5.11019992828369,5.6869797706604
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Serbia,SRB,3.90093231201172,3.71016001701355,3.58231997489929,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Seychelles,SYC,3.54826331138611,4.23536539077759,4.35177803039551,4.89120054244995
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sierra Leone,SLE,2.58851051330566,4.66086006164551,6.98962783813477,8.80954837799072
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Singapore,SGP,3.08044004440308,2.75684809684753,2.85660004615784,2.6869900226593
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Slovak Republic,SVK,4.0447998046875,3.93220996856689,3.95290994644165,4.76427984237671
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Slovenia,SVN,5.54546022415161,4.78053998947144,4.93455982208252,5.38373994827271
"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,Solomon Islands,SLB,7.47837018966675,..,..,9.64354610443115
